GAME_ID,POSSESSION_ID,TEAM_ID,START_X,START_Y,END_X,DISTANCE,DURATION,THIRD,DOMINANT_ZONE,ENTRY_ZONE,EXIT_ZONE,START_TIME,END_TIME,DEF_WIDTH,SHOT,XG,GOAL,TURNOVER,TEAM_0_SCORE,TEAM_1_SCORE,SCORE_STATE
0,23,1,45.957615,49.642303,20.965347,24.992268,45,middle_third,wide,central,wide,69,113,10.029,False,0.0,False,True,0.0,0.0,tied
0,56,0,35.009495,21.16517,45.355747,10.346252,16,defensive_third,wide,wide,central,163,178,14.128,False,0.0,False,False,0.0,0.0,tied
0,81,1,59.25185,48.707092,48.648655,10.603195,19,middle_third,central,central,wide,223,241,15.215,False,0.0,False,True,0.0,0.0,tied
0,100,1,37.26989,53.37322,15.349914,21.919975,29,final_third,central,central,central,269,297,13.332,True,0.2722574421242456,False,False,0.0,0.0,tied
0,175,0,87.01362,30.178188,101.13679,14.123169,20,final_third,central,central,central,396,415,11.934,True,0.20204574543564283,True,False,0.0,0.0,tied
0,239,1,31.768663,41.36545,20.991154,10.77751,34,final_third,central,central,central,554,587,10.701,False,0.0,False,True,1.0,0.0,losing
0,266,0,31.479202,60.770477,61.023933,29.544731,40,defensive_third,wide,wide,central,661,700,13.408,False,0.0,False,False,1.0,0.0,winning
0,280,0,71.89345,50.920547,88.84406,16.950615,67,middle_third,central,central,central,714,780,11.268,True,0.24785342890224912,False,False,1.0,0.0,winning
0,286,0,92.03092,43.427826,102.17665,10.145729,15,final_third,central,central,central,786,800,10.489,True,0.24785342890224912,False,False,1.0,0.0,winning
0,360,0,87.94283,17.779072,114.41917,26.476334,67,final_third,wide,wide,central,949,1015,14.538,True,0.18601633005867904,True,False,1.0,0.0,winning
0,403,0,72.77734,8.364068,88.974976,16.197632,24,middle_third,wide,wide,wide,1126,1149,14.409,False,0.0,False,False,2.0,0.0,winning
0,474,0,67.91333,22.687073,78.59096,10.677628,33,middle_third,central,wide,central,1250,1282,14.13,True,0.06934279478853576,False,False,2.0,0.0,winning
0,887,0,76.95205,45.917343,97.37819,20.42614,30,middle_third,central,central,central,1816,1845,13.938,False,0.0,False,False,2.0,0.0,winning
0,1065,1,41.410873,51.11732,14.243231,27.167643,59,middle_third,central,central,wide,2278,2336,14.063,True,0.15108846487622793,False,False,2.0,0.0,losing
0,1316,0,78.460175,29.262924,100.86621,22.406036,69,middle_third,central,central,central,2764,2832,12.82,False,0.0,False,False,2.0,1.0,winning
1,1486,0,81.76769,57.000237,109.343376,27.575684,57,final_third,wide,wide,wide,160,216,13.602,True,0.0017943603675264583,False,False,0.0,0.0,tied
1,1657,0,90.47621,59.11534,111.94076,21.464546,30,final_third,wide,wide,central,546,575,14.035,False,0.0,False,False,0.0,0.0,tied
1,1783,1,47.47107,13.391248,22.66444,24.80663,33,middle_third,wide,wide,wide,743,775,13.792,False,0.0,False,True,0.0,0.0,tied
1,1828,0,61.578278,65.78287,108.3433,46.765022,70,middle_third,wide,wide,wide,823,892,15.43,True,0.1909035350621226,False,False,0.0,0.0,tied
1,1941,0,92.81152,18.994425,106.001236,13.189713,39,final_third,wide,wide,wide,1058,1096,14.309,False,0.0,False,True,0.0,0.0,tied
1,2110,1,50.268337,24.25433,10.529047,39.73929,59,middle_third,wide,central,wide,1319,1377,14.392,False,0.0,False,False,0.0,0.0,tied
1,2158,0,70.00542,33.89866,81.64039,11.634972,23,middle_third,central,central,central,1450,1472,14.533,False,0.0,False,True,0.0,0.0,tied
1,2373,1,79.10415,73.13532,54.706615,24.397533,53,middle_third,wide,wide,wide,1843,1895,13.705,False,0.0,False,True,1.0,0.0,losing
1,2406,1,33.918884,20.797188,8.464394,25.45449,57,final_third,wide,wide,wide,1956,2012,14.164,True,0.13012573949759898,False,False,1.0,0.0,losing
1,2469,0,80.6575,38.696438,106.94894,26.291435,71,final_third,wide,central,wide,2112,2182,14.956,False,0.0,False,False,1.0,0.0,winning
1,2793,0,92.31643,59.11018,104.8665,12.550072,35,final_third,wide,wide,wide,2800,2834,14.71,True,0.14220642256259214,False,False,1.0,0.0,winning
1,2897,0,75.15387,65.321434,85.74412,10.590248,16,middle_third,wide,wide,wide,2985,3000,14.884,False,0.0,False,False,1.0,0.0,winning
2,2940,0,75.93604,22.441465,108.51518,32.57914,54,middle_third,wide,wide,wide,81,134,14.258,False,0.0,False,False,0.0,0.0,tied
2,3040,1,65.67218,53.295715,42.59705,23.07513,55,middle_third,wide,central,wide,242,296,14.707,False,0.0,False,True,0.0,0.0,tied
2,3078,0,54.41631,24.319485,64.49403,10.077724,31,middle_third,wide,central,wide,387,417,14.281,False,0.0,False,False,0.0,0.0,tied
2,3113,0,77.35087,28.2165,107.6659,30.315033,42,middle_third,central,central,central,488,529,13.473,True,0.0007952498423295728,False,False,0.0,0.0,tied
2,3227,0,40.46758,46.389473,56.450294,15.982716,25,middle_third,central,central,central,760,784,14.482,False,0.0,False,False,0.0,0.0,tied
2,3251,0,83.70864,67.83019,100.921585,17.212944,29,final_third,wide,wide,wide,834,862,15.61,True,0.001846098200573945,False,False,0.0,0.0,tied
2,3623,1,53.131226,30.34566,11.976753,41.154472,71,middle_third,wide,central,wide,1427,1497,14.651,True,0.69844586892828,False,False,1.0,0.0,losing
2,3680,0,59.278816,33.33732,99.99218,40.713364,87,middle_third,central,central,wide,1582,1668,11.954,True,0.17135517795771582,False,False,1.0,0.0,winning
2,3842,1,37.62546,41.40531,9.718734,27.906727,61,final_third,wide,central,wide,1892,1952,14.39,False,0.0,False,True,1.0,0.0,losing
2,3934,0,68.39771,38.218597,82.65997,14.26226,22,middle_third,central,central,central,2162,2183,9.998,False,0.0,False,False,1.0,1.0,tied
2,4160,0,91.63814,37.158897,102.736984,11.098846,20,final_third,central,central,central,2529,2548,13.629,True,0.4262693004277858,True,False,2.0,1.0,winning
2,4177,1,57.714592,26.1928,47.544174,10.170418,19,middle_third,central,central,central,2577,2595,8.985,False,0.0,False,False,3.0,1.0,losing
2,4237,1,24.324434,51.67122,11.52115,12.803285,17,final_third,central,central,central,2703,2719,12.557,True,0.11687421010234941,True,False,3.0,1.0,losing
2,4259,1,53.215748,53.720608,14.644647,38.571102,90,middle_third,wide,central,wide,2799,2888,9.122,True,0.1222368245112158,False,False,3.0,2.0,losing
3,4393,0,78.39871,48.85643,100.66057,22.261856,36,middle_third,central,central,central,126,161,9.072,True,0.7704301295525147,True,False,0.0,0.0,tied
