THIRD,SCORE_STATE,DEF_WIDTH_CATEGORY,ZONE,MEAN_XG,TURNOVER_RATE,TURNOVER_COST,PV,COUNT
defensive_third,losing,compact,central,0.0,0.265,0.1268,-0.0337,49
defensive_third,losing,compact,wide,0.0,0.333,0.0723,-0.0241,30
defensive_third,losing,stretched,central,0.0047,0.223,0.1268,-0.0236,193
defensive_third,losing,stretched,wide,0.0009,0.215,0.0723,-0.0146,372
defensive_third,tied,compact,central,0.0104,0.333,0.1268,-0.0319,117
defensive_third,tied,compact,wide,0.0076,0.217,0.0723,-0.0081,46
defensive_third,tied,stretched,central,0.0084,0.213,0.1268,-0.0187,356
defensive_third,tied,stretched,wide,0.0008,0.22,0.0723,-0.0152,708
defensive_third,winning,compact,central,0.0073,0.162,0.1268,-0.0133,74
defensive_third,winning,compact,wide,0.0071,0.286,0.0723,-0.0135,42
defensive_third,winning,stretched,central,0.0017,0.221,0.1268,-0.0263,253
defensive_third,winning,stretched,wide,0.0,0.196,0.0723,-0.0141,404
final_third,losing,compact,central,0.1167,0.198,0.0058,0.1156,1144
final_third,losing,compact,wide,0.063,0.25,0.001,0.0628,593
final_third,losing,stretched,central,0.1103,0.233,0.0058,0.1089,549
final_third,losing,stretched,wide,0.071,0.204,0.001,0.0708,1316
final_third,tied,compact,central,0.1361,0.167,0.0058,0.1352,2249
final_third,tied,compact,wide,0.0737,0.222,0.001,0.0735,942
final_third,tied,stretched,central,0.1231,0.226,0.0058,0.1218,1027
final_third,tied,stretched,wide,0.0755,0.221,0.001,0.0753,2588
final_third,winning,compact,central,0.1322,0.157,0.0058,0.1313,1484
final_third,winning,compact,wide,0.0745,0.182,0.001,0.0743,527
final_third,winning,stretched,central,0.1201,0.196,0.0058,0.1189,643
final_third,winning,stretched,wide,0.0697,0.189,0.001,0.0695,1313
middle_third,losing,compact,central,0.0481,0.3,0.0555,0.0315,2620
middle_third,losing,compact,wide,0.0431,0.265,0.0444,0.0314,803
middle_third,losing,stretched,central,0.0512,0.236,0.0555,0.0381,911
middle_third,losing,stretched,wide,0.0479,0.241,0.0444,0.0372,1778
middle_third,tied,compact,central,0.0573,0.253,0.0555,0.0433,5186
middle_third,tied,compact,wide,0.0482,0.227,0.0444,0.0381,1218
middle_third,tied,stretched,central,0.0575,0.237,0.0555,0.0443,1935
middle_third,tied,stretched,wide,0.0434,0.244,0.0444,0.0326,3686
middle_third,winning,compact,central,0.0581,0.219,0.0555,0.046,3087
middle_third,winning,compact,wide,0.0397,0.248,0.0444,0.0286,753
middle_third,winning,stretched,central,0.0567,0.234,0.0555,0.0437,1105
middle_third,winning,stretched,wide,0.0429,0.206,0.0444,0.0338,1936
